# Source: CPIC via API (https://api.cpicpgx.org/v1/). Auto-generated by fetch_cpic_data.py.
drug_name	gene	guideline_source	guideline_url	clinical_summary	cpic_level	pgx_testing
abacavir	HLA-B	CPIC	https://www.clinpgx.org/guideline/PA166251444	CPIC Level A drug-gene pair. PGx testing: Testing Required.	A	Testing Required
acenocoumarol	CYP2C9	CPIC	.	CPIC Level B drug-gene pair.	B	.
acenocoumarol	CYP4F2	CPIC	.	CPIC Level B drug-gene pair.	B	.
allopurinol	HLA-B	CPIC	https://www.clinpgx.org/guideline/PA166251446	CPIC Level A drug-gene pair. PGx testing: Testing Recommended.	A	Testing Recommended
amikacin	MT-RNR1	CPIC	https://www.clinpgx.org/guideline/PA166251466	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
amitriptyline	CYP2C19	CPIC	https://www.clinpgx.org/guideline/PA166251445	CPIC Level A drug-gene pair.	A	.
amitriptyline	CYP2D6	CPIC	https://www.clinpgx.org/guideline/PA166251445	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
aripiprazole	CYP2D6	CPIC	.	CPIC Level B drug-gene pair. PGx testing: Actionable PGx.	B	Actionable PGx
atazanavir	UGT1A1	CPIC	https://www.clinpgx.org/guideline/PA166251453	CPIC Level A drug-gene pair.	A	.
atomoxetine	CYP2D6	CPIC	https://www.clinpgx.org/guideline/PA166251459	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
atorvastatin	SLCO1B1	CPIC	https://www.clinpgx.org/guideline/PA166264281	CPIC Level A drug-gene pair.	A	.
azathioprine	NUDT15	CPIC	https://www.clinpgx.org/guideline/PA166251442	CPIC Level A drug-gene pair. PGx testing: Testing Recommended.	A	Testing Recommended
azathioprine	TPMT	CPIC	https://www.clinpgx.org/guideline/PA166251442	CPIC Level A drug-gene pair. PGx testing: Testing Recommended.	A	Testing Recommended
belinostat	UGT1A1	CPIC	.	CPIC Level B drug-gene pair. PGx testing: Actionable PGx.	B	Actionable PGx
brivaracetam	CYP2C19	CPIC	.	CPIC Level B drug-gene pair. PGx testing: Actionable PGx.	B	Actionable PGx
capecitabine	DPYD	CPIC	https://www.clinpgx.org/guideline/PA166251462	CPIC Level A drug-gene pair. PGx testing: Testing Recommended.	A	Testing Recommended
carbamazepine	HLA-A	CPIC	https://www.clinpgx.org/guideline/PA166251448	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
carbamazepine	HLA-B	CPIC	https://www.clinpgx.org/guideline/PA166251448	CPIC Level A drug-gene pair. PGx testing: Testing Required.	A	Testing Required
carbamazepine	SCN1A	CPIC	.	CPIC Level B drug-gene pair.	B	.
carglumic acid	NAGS	CPIC	.	CPIC Level B drug-gene pair. PGx testing: Testing Required.	B	Testing Required
celecoxib	CYP2C9	CPIC	https://www.clinpgx.org/guideline/PA166251464	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
citalopram	CYP2C19	CPIC	https://www.clinpgx.org/guideline/PA166251452	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
clomipramine	CYP2C19	CPIC	https://www.clinpgx.org/guideline/PA166251445	CPIC Level B drug-gene pair.	B	.
clomipramine	CYP2D6	CPIC	https://www.clinpgx.org/guideline/PA166251445	CPIC Level B drug-gene pair. PGx testing: Actionable PGx.	B	Actionable PGx
clopidogrel	CYP2C19	CPIC	https://www.clinpgx.org/guideline/PA166251443	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
codeine	CYP2D6	CPIC	https://www.clinpgx.org/guideline/PA166251454	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
dapsone	G6PD	CPIC	https://www.clinpgx.org/guideline/PA166251450	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
desflurane	CACNA1S	CPIC	https://www.clinpgx.org/guideline/PA166251460	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
desflurane	RYR1	CPIC	https://www.clinpgx.org/guideline/PA166251460	CPIC Level A drug-gene pair. PGx testing: Actionable PGx.	A	Actionable PGx
desipramine	CYP2D6	CPIC	https://www.clinpgx.org/guideline/PA166251445	CPIC Level B drug-gene pair. PGx testing: Actionable PGx.	B	Actionable PGx
dexlansoprazole	CYP2C19	CPIC	https://www.clinpgx.org/guideline/PA166251441	CPIC Level B drug-gene pair. PGx testing: Actionable PGx.	B	Actionable PGx
dibekacin	MT-RNR1	CPIC	https://www.clinpgx.org/guideline/PA166251466	CPIC Level A drug-gene pair.	A	.
doxepin	CYP2C19	CPIC	https://www.clinpgx.org/guideline/PA166251445	CPIC Level B drug-gene pair. PGx testing: Actionable PGx.	B	Actionable PGx
doxepin	CYP2D6	CPIC	https://www.clinpgx.org/guideline/PA166251445	CPIC Level B drug-gene pair. PGx testing: Actionable PGx.	B	Actionable PGx
