symbol	name	chrom	start	end	strand
OR4F5	olfactory receptor family 4 subfamily F member 5	chr1	65419	71585	+
OR4F29	olfactory receptor family 4 subfamily F member 29	chr1	450740	451678	-
OR4F16	olfactory receptor family 4 subfamily F member 16	chr1	685716	686654	-
SAMD11	sterile alpha motif domain containing 11	chr1	923923	944575	+
NOC2L	NOC2 like nucleolar associated transcriptional repressor	chr1	943527	960714	-
KLHL17	kelch like family member 17	chr1	960576	965719	+
PLEKHN1	pleckstrin homology domain containing N1	chr1	966437	975865	+
PERM1	PPARGC1 and ESRR induced regulator, muscle 1	chr1	975194	982134	-
HES4	hes family bHLH transcription factor 4	chr1	998962	1000172	-
ISG15	ISG15 ubiquitin like modifier	chr1	1001138	1014540	+
AGRN	agrin	chr1	1020120	1056119	+
RNF223	ring finger protein 223	chr1	1070967	1074306	-
C1orf159	chromosome 1 open reading frame 159	chr1	1081811	1116361	-
TTLL10	tubulin tyrosine ligase like 10	chr1	1173880	1197940	+
TNFRSF18	TNF receptor superfamily member 18	chr1	1203508	1206592	-
TNFRSF4	TNF receptor superfamily member 4	chr1	1211326	1214153	-
SDF4	stromal cell derived factor 4	chr1	1216887	1238870	-
B3GALT6	beta-1,3-galactosyltransferase 6	chr1	1232237	1235041	+
C1QTNF12	C1q and TNF related 12	chr1	1242446	1246722	-
UBE2J2	ubiquitin conjugating enzyme E2 J2	chr1	1253907	1274477	-
SCNN1D	sodium channel epithelial 1 subunit delta	chr1	1280436	1292029	+
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	chr1	1292376	1309609	-
PUSL1	pseudouridine synthase like 1	chr1	1308567	1311677	+
INTS11	integrator complex subunit 11	chr1	1311585	1324687	-
CPTP	ceramide-1-phosphate transfer protein	chr1	1324756	1328897	+
TAS1R3	taste 1 receptor member 3	chr1	1331280	1335314	+
DVL1	dishevelled segment polarity protein 1	chr1	1335276	1349945	-
MXRA8	matrix remodeling associated 8	chr1	1352689	1361777	-
AURKAIP1	aurora kinase A interacting protein 1	chr1	1373729	1375521	-
CCNL2	cyclin L2	chr1	1385711	1399339	-
MRPL20	mitochondrial ribosomal protein L20	chr1	1401908	1407306	-
ANKRD65	ankyrin repeat domain 65	chr1	1415637	1421769	-
VWA1	von Willebrand factor A domain containing 1	chr1	1434861	1442882	+
ATAD3C	ATPase family AAA domain containing 3C	chr1	1449689	1470163	+
ATAD3B	ATPase family AAA domain containing 3B	chr1	1471756	1497848	+
ATAD3A	ATPase family AAA domain containing 3A	chr1	1512147	1534686	+
TMEM240	transmembrane protein 240	chr1	1534778	1540624	-
SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase	chr1	1541673	1574884	-
FNDC10	fibronectin type III domain containing 10	chr1	1598012	1600135	-
MIB2	MIB E3 ubiquitin protein ligase 2	chr1	1615434	1630610	+
MMP23B	matrix metallopeptidase 23B	chr1	1631665	1635263	+
CDK11B	cyclin dependent kinase 11B	chr1	1635225	1659234	-
SLC35E2B	solute carrier family 35 member E2B	chr1	1659529	1693017	-
CDK11A	cyclin dependent kinase 11A	chr1	1702379	1724482	-
NADK	NAD kinase	chr1	1751232	1780544	-
GNB1	G protein subunit beta 1	chr1	1785285	1892292	-
CALML6	calmodulin like 6	chr1	1915108	1917296	+
TMEM52	transmembrane protein 52	chr1	1917589	1919329	-
CFAP74	cilia and flagella associated protein 74	chr1	1921951	2003837	-
GABRD	gamma-aminobutyric acid type A receptor subunit delta	chr1	2019329	2030758	+
PRKCZ	protein kinase C zeta	chr1	2050411	2185395	+
FAAP20	FA core complex associated protein 20	chr1	2184461	2212720	-
SKI	SKI proto-oncogene	chr1	2227388	2310213	+
MORN1	MORN repeat containing 1	chr1	2319208	2391707	-
RER1	retention in endoplasmic reticulum sorting receptor 1	chr1	2390670	2405444	+
PEX10	peroxisomal biogenesis factor 10	chr1	2403964	2413797	-
PLCH2	phospholipase C eta 2	chr1	2425980	2505532	+
PANK4	pantothenate kinase 4 (inactive)	chr1	2508534	2526612	-
HES5	hes family bHLH transcription factor 5	chr1	2528745	2530263	-
TNFRSF14	TNF receptor superfamily member 14	chr1	2554244	2565382	+
PRXL2B	peroxiredoxin like 2B	chr1	2586491	2591470	+
MMEL1	membrane metalloendopeptidase like 1	chr1	2590639	2633016	-
TTC34	tetratricopeptide repeat domain 34	chr1	2636986	2801693	-
ACTRT2	actin related protein T2	chr1	3021467	3022903	+
PRDM16	PR/SET domain 16	chr1	3069168	3438621	+
ARHGEF16	Rho guanine nucleotide exchange factor 16	chr1	3454550	3481127	+
MEGF6	multiple EGF like domains 6	chr1	3487942	3611543	-
TPRG1L	tumor protein p63 regulated 1 like	chr1	3624979	3630131	+
WRAP73	WD repeat containing, antisense to TP73	chr1	3630767	3652761	-
TP73	tumor protein p73	chr1	3652516	3736201	+
CCDC27	coiled-coil domain containing 27	chr1	3746460	3771645	+
SMIM1	small integral membrane protein 1 (Vel blood group)	chr1	3772655	3776709	+
LRRC47	leucine rich repeat containing 47	chr1	3778559	3796511	-
CEP104	centrosomal protein 104	chr1	3812086	3857723	-
DFFB	DNA fragmentation factor subunit beta	chr1	3857267	3885429	+
C1orf174	chromosome 1 open reading frame 174	chr1	3889125	3900293	-
AJAP1	adherens junctions associated protein 1	chr1	4654609	4792534	+
NPHP4	nephrocystin 4	chr1	5862804	5993455	-
KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	chr1	5990927	6101193	+
CHD5	chromodomain helicase DNA binding protein 5	chr1	6101787	6180321	-
RPL22	ribosomal protein L22	chr1	6185020	6209389	-
RNF207	ring finger protein 207	chr1	6205392	6221299	+
ICMT	isoprenylcysteine carboxyl methyltransferase	chr1	6221193	6235972	-
HES3	hes family bHLH transcription factor 3	chr1	6244179	6245578	+
GPR153	G protein-coupled receptor 153	chr1	6247347	6261098	-
ACOT7	acyl-CoA thioesterase 7	chr1	6264268	6393767	-
HES2	hes family bHLH transcription factor 2	chr1	6412418	6424690	-
ESPN	espin	chr1	6424776	6461367	+
TNFRSF25	TNF receptor superfamily member 25	chr1	6460786	6466181	-
PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	chr1	6467122	6520074	-
NOL9	nucleolar protein 9	chr1	6521347	6554536	-
TAS1R1	taste 1 receptor member 1	chr1	6555307	6579755	+
ZBTB48	zinc finger and BTB domain containing 48	chr1	6579994	6589280	+
KLHL21	kelch like family member 21	chr1	6590724	6614607	-
PHF13	PHD finger protein 13	chr1	6613731	6624030	+
THAP3	THAP domain containing 3	chr1	6624845	6635586	+
DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	chr1	6634168	6701924	-
CAMTA1	calmodulin binding transcription activator 1	chr1	6785454	7769706	+
VAMP3	vesicle associated membrane protein 3	chr1	7771296	7781432	+
